X,Y,fid,Nama_Sekolah,NPSN,Nama_KepSek,Alamat_Sekolah,Tahun_Berdiri,Status_Akreditasi,Ruang_Guru,Ruang_Pimpinan,Lab_IPA,Perpus,UKS,Ruang_AdminTU,Ruang_Sirkulasi,Ruang_Ibadah,Jamban_WC,Area_Olahraga,Gudang,Kantin,Tempat_Parkir,Ruang_Kelas,Lemari,Papan_Pajang,Papan_Tulis,Tempat_Sampah,Tempat_Cuci_Tangan,Jam_Dinding,Kotak_Kontak,Meteran_Listrik,Rumah_Dinas_Guru,Pagar_Keliling,Lapangan_Upacara,Jumlah_Kursi_Siswa,Jumlah_Meja_Siswa,Jumlah_Siswa,Jumlah_Kursi_Guru,Jumlah_Meja_Guru,Jumlah_Guru,GuruAgamaBP_SMA,GuruAgamaBP_D1,GuruAgamaBP_D2,GuruAgamaBP_D3,GuruAgamaBP_S1,GuruAgamaBP_S2,GuruPPKN_SMA,GuruPPKN_D1,GuruPPKN_D2,GuruPPKN_D3,GuruPPKN_S1,GuruPPKN_S2,GuruIndo_SMA,GuruIndo_D1,GuruIndo_D2,GuruIndo_D3,GuruIndo_S1,GuruIndo_S2,GuruMTK_SMA,GuruMTK_D1,GuruMTK_D2,GuruMTK_D3,GuruMTK_S1,GuruMTK_S2,GuruIPA_SMA,GuruIPA_D1,GuruIPA_D2,GuruIPA_D3,GuruIPA_S1,GuruIPA_S2,GuruIPS_SMA,GuruIPS_D1,GuruIPS_D2,GuruIPS_D3,GuruIPS_S1,GuruIPS_S2,GuruIng_SMA,GuruIng_D1,GuruIng_D2,GuruIng_D3,GuruIng_S1,GuruIng_S2,GuruSeni_SMA,GuruSeni_D1,GuruSeni_D2,GuruSeni_D3,GuruSeni_S1,GuruSeni_S2,GuruPJS_SMA,GuruPJS_D1,GuruPJS_D2,GuruPJS_D3,GuruPJS_S1,GuruPJS_S2,GuruPraKarya_SMA,GuruPraKarya_D1,GuruPraKarya_D2,GuruPraKarya_D3,GuruPraKarya_S1,GuruPraKarya_S2,GuruLain_SMA,GuruLain_D1,GuruLain_D2,GuruLain_D3,GuruLain_S1,GuruLain_S2,Jenjang_Pendidikan,Desa,Kecamatan,FotoA,FotoB,FotoC,Catatan,icon_url
125.361417537713,2.74758119844949,"1",SMP Negeri 1 Siau Barat,"40104753","Hendryman Ch. Dalughu, S.Pd, M. Si",Jl. Lokongbanua Kelurahan Ondong Kecamatan Siau Barat,1964/06/30,"2","1","1","2","1","1","2","4","5","1","1","1","4","1","1","10","3","8","15","12","4","0","900","5","3","1","209","209","209","27","27","27","0","0","1","0","3","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","1","0","2","0","0","0","0","0","2","0","0","0","0","0","3","0","0","0","0","1","2","1","1","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","1","0","0","0","0","0","0","2","2",Ondong,Siau Barat,DCIM/titik-sekolah_20220825100809585.jpg,DCIM/titik-sekolah_20220825100820836.jpg,DCIM/titik-sekolah_20220825110525976.jpg,"Pintu WC untuk siswa rusak ringan, beberapa jendela ruang kelas sudah pecah, rusak ringan pada plafon pada kantin, ruang Lab IPA bagian plafon rusak ringan",./0.png
125.36865497008,2.6955998595804,"2",SD GMIST Peling Sawang,"40104670",Retna Bidara Kansil,Lindongan III ,1967/06/16,"2","1","5","5","1","5","5",,"5","1","5","1","5","5","2","4","0","6","7","4","0",,"1300","5","2","1","70","35","67","9","9","9","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","6","0","1",Peling Sawang,Siau Barat,DCIM/titik-sekolah_20220825132136110.jpg,DCIM/titik-sekolah_20220825104506932.jpg,DCIM/titik-sekolah_20220825104432892.jpg,,./1.png
125.368080725893,2.69577491562814,"3",SMP Negeri 4 Siau Barat,"40104771","Yames Watulangkou, S.Pd",Lindongan III,1992/08/01,"2","1","1","1","1","5","1",,"5","1","1","1","1","1","1","11","0","8","14","9","4",,"2200","1","2","1","108","108","108","28","28","22","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","3","0","2",Peling Sawang,Siau Barat,DCIM/titik-sekolah_20220825110515011.jpg,DCIM/titik-sekolah_20220825111703992.jpg,DCIM/titik-sekolah_20220825111743361.jpg,Kondisi sekolah masih sangat bagus,./0.png
125.375139964744,2.67780021764338,"4",SD GMIST Efrata Laghaeng,"40104658","Lidia Bidara, S.PdK",Lindongan III Kampung Laghaeng,1946/08/01,"2","1","5","5","5","5","5",,"5","2","5","5","5","5","1","6","0","9","9","3","1",,"900","5","2","1","19","19","19","3","3","7","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","1",Laghaeng,Siau Barat Selatan,DCIM/titik-sekolah_20220825131735730.jpg,DCIM/titik-sekolah_20220825131758213.jpg,DCIM/titik-sekolah_20220825131815292.jpg,,./1.png
125.373744210228,2.75497856084257,"5",SD GMIST Kana Kanawong,"40104672","Bapak. Heny Jacobus, S.Pd",Kampung Kanawong,1855/05/10,"2","1","1","5","2","1","1",,"5","1","1","5","5","1","1","6","1","6","15","6","2",,"900","5","0","1","34","34","25","13","13","7","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","4","0","1",Kanawong,Siau Barat,DCIM/titik-sekolah_20220825134711225.jpg,DCIM/titik-sekolah_20220825134737472.jpg,DCIM/titik-sekolah_20220825134800968.jpg,"Pagar hanya ada didepan sekolah selebihnya tidak ada pagar, ruang guru, ruang pimpinan, ruang admin TU dan UKS digbung, tidak ada gudang",./1.png
125.36670874,2.75287889,"6",SDN INPRES PEHE,"40104679","ROSTIEN ADILIS, S.Pd",Lindongan 2,1983/08/01,"2","1","5","5","3","1","5",,"5","1","5","1","5","1","2","5","0","6","9","5","2",,"900","1","3","1","32","32","35","9","7","9","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","7","0","1",Pehe,Siau Barat,DCIM/titik-sekolah_20220825134840504.jpg,DCIM/titik-sekolah_20220825134857982.jpg,DCIM/titik-sekolah_20220825134923649.jpg,,./1.png
125.36814458,2.7627128,"7",SD GMIST FILADELFIA LEHI,"40104653","ALFIANUS REIKO TOLI, S,Pd",Lindongan 1,1961/08/01,"2","1","1","5","1","5","5",,"5","1","5","4","1","5","1","3","0","6","8","5","1",,"900","4","3","1","37","37","37","10","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","1",Lehi,Siau Barat,,,,,./1.png
125.404595,2.63551,"8",SDN inpres Tanaki,"40104682","Lira Rostyn Andris, S.Pd",Tanaki,1979/07/25,"2","3","5","5","2","5","5",,"5","1","1","3","3","1","2","8","1","6","8","0","2",,"1300","1","3","1","64","64","70","10","10","9","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","7","0","1",Tanaki,Siau Barat Selatan,DCIM/titik-sekolah_20220825082739529.jpg,DCIM/titik-sekolah_20220825082825163.jpg,DCIM/titik-sekolah_20220825082842468.jpg,"3 ruang kelas tanpa plafon, luar maupun dalam dan ruang pimpinan belum ad",./1.png
125.361006666667,2.72672333333333,"9",SD gmist bethabara paseng,"40104652","Stella Badoa, S.Pd",Paseng,1955/10/05,"2","2","5","5","5","5","5",,"5","1","1","3","5","1","1","11","1","6","10","5","1",,"900","2","3","3","30","45","45","12","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1",Paseng,Siau Barat,DCIM/titik-sekolah_20220825110602315.jpg,DCIM/titik-sekolah_20220825110620297.jpg,DCIM/titik-sekolah_20220905075358577.jpg,"Kekurangan guru, perlunya ketambahan guru, kekurangan kursi dan atap sekolah butuh tenovasi",./1.png
125.36131,2.744855,"10",SD gmist Immanuel Ondong,"40104632",Dantje Jacobus S.Pd.K,Paniki,1923/03/02,"1","1","1","5","4","5","5",,"5","1","1","5","5","1","1","3","1","6","12","3","2",,"2200","4","2","1","121","101","121","11","14","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","6","0","1",Paniki,Siau Barat,DCIM/titik-sekolah_20220825125659984.jpg,DCIM/titik-sekolah_20220825125734920.jpg,DCIM/titik-sekolah_20220825125755006.jpg,"Perpus rusak berat, rumah dinas rusak berat dan UKS tidak ada",./1.png
